Name,PicNum,InPoint Count,OutPoint Count,Points
A,0.png,24,24," [2, 3, 3, 4, 3, 3, 3, 2, 1]"
Ba,1.png,25,25," [2, 1, 1, 3, 3, 4, 4, 4, 3]"
Be,2.png,13,13," [1, 1, 1, 1, 1, 1, 2, 3, 2]"
Bi,3.png,16,16," [2, 3, 2, 2, 1, 1, 1, 2, 2]"
Bo,4.png,23,23," [2, 1, 3, 4, 4, 1, 3, 4, 1]"
Bu,5.png,22,22," [1, 1, 2, 5, 3, 2, 2, 4, 2]"
Chi,6.png,20,20," [1, 2, 2, 4, 3, 3, 2, 2, 1]"
Da,7.png,20,20," [2, 2, 1, 2, 3, 3, 2, 3, 2]"
De,8.png,15,15," [1, 1, 1, 2, 3, 3, 2, 1, 1]"
Do,9.png,19,19," [1, 3, 3, 2, 2, 2, 3, 2, 1]"
E,10.png,22,22," [2, 2, 2, 4, 4, 4, 2, 1, 1]"
Fu,11.png,18,18," [1, 1, 2, 5, 3, 2, 1, 2, 1]"
Ga,12.png,16,16," [2, 2, 2, 3, 1, 0, 2, 2, 2]"
Ge,13.png,15,15," [2, 1, 1, 2, 2, 1, 2, 3, 1]"
Gi,14.png,26,26," [1, 3, 5, 4, 4, 4, 3, 1, 1]"
Go,15.png,14,14," [0, 2, 3, 2, 2, 2, 2, 1, 0]"
Gu,16.png,13,13," [0, 1, 2, 2, 2, 3, 2, 1, 0]"
Ha,17.png,11,11," [0, 1, 0, 1, 3, 3, 1, 2, 0]"
He,18.png,9,9," [1, 1, 1, 1, 1, 1, 1, 1, 1]"
Hi,19.png,10,10," [0, 1, 3, 2, 1, 1, 1, 1, 0]"
Ho,20.png,15,15," [0, 3, 0, 0, 4, 4, 2, 2, 0]"
I,21.png,8,8," [1, 2, 1, 1, 0, 0, 1, 1, 1]"
Ji,22.png,7,7," [0, 0, 0, 2, 1, 1, 2, 1, 0]"
Ji-Di,23.png,15,15," [0, 1, 2, 2, 3, 3, 2, 1, 1]"
Ka,24.png,11,11," [0, 2, 2, 3, 2, 0, 1, 1, 0]"
Ke,25.png,7,7," [0, 1, 1, 0, 1, 2, 1, 1, 0]"
Ki,26.png,16,16," [0, 0, 2, 4, 3, 4, 3, 0, 0]"
Ko,27.png,13,13," [0, 1, 2, 3, 2, 2, 2, 1, 0]"
Ku,28.png,10,10," [0, 0, 1, 2, 2, 3, 2, 0, 0]"
Ma,29.png,24,24," [0, 1, 4, 4, 5, 4, 3, 3, 0]"
Me,30.png,17,17," [0, 3, 2, 2, 3, 3, 2, 2, 0]"
Mi,31.png,18,18," [1, 3, 2, 3, 3, 2, 1, 2, 1]"
Mo,32.png,14,14," [0, 1, 2, 3, 3, 2, 2, 1, 0]"
Mu,33.png,16,16," [0, 3, 2, 2, 2, 1, 3, 3, 0]"
N,34.png,11,11," [0, 1, 2, 2, 3, 1, 1, 1, 0]"
Na,35.png,15,15," [0, 1, 2, 4, 3, 3, 1, 1, 0]"
